Date,BIL,GVI,IYR,JKD,LQD,MDY,MUB,VFINX,VIGRX,VISVX,VUSTX,^RUT
2016-06-09,87.15740966796875,102.33235931396484,67.49439239501953,111.91841125488281,104.19084167480469,259.9549560546875,101.4561996459961,179.6284942626953,53.49154281616211,23.58664894104004,10.800105094909668,1181.199951171875
2016-06-10,87.15740966796875,102.4964828491211,67.16325378417969,111.07328033447266,104.31159210205078,256.2987060546875,101.62712860107422,177.9873809814453,52.900691986083984,23.239652633666992,10.84022045135498,1163.9300537109375
2016-06-13,87.15740966796875,102.587646484375,67.11229705810547,109.99190521240234,104.15632629394531,253.54232788085938,101.6900863647461,176.59373474121094,52.564334869384766,22.964046478271484,10.8883638381958,1150.699951171875
2016-06-14,87.15740966796875,102.532958984375,66.7471923828125,109.71927642822266,103.92347717285156,252.6235809326172,101.86103820800781,176.2911834716797,52.545230865478516,22.872486114501953,10.8883638381958,1147.8199462890625
2016-06-15,87.15740966796875,102.70614624023438,67.35853576660156,109.51028442382812,104.31159210205078,253.09228515625,101.91498565673828,175.97946166992188,52.468780517578125,22.899951934814453,10.920461654663086,1149.300048828125
2016-06-16,87.17648315429688,102.74263000488281,67.69816589355469,110.01006317138672,104.46684265136719,252.91419982910156,102.06793212890625,176.5570831298828,52.554786682128906,22.863323211669922,10.976628303527832,1148.18994140625
2016-06-17,87.15740966796875,102.71527099609375,67.59627532958984,109.92828369140625,104.15632629394531,252.92173767089844,102.08588409423828,175.97946166992188,52.22990036010742,22.927417755126953,10.912433624267578,1144.699951171875
2016-06-20,87.17648315429688,102.532958984375,67.72366333007812,110.3735580444336,104.02693939208984,255.58326721191406,101.8790054321289,177.0093231201172,52.57388687133789,23.156326293945312,10.79207992553711,1157.699951171875
2016-06-21,87.17648315429688,102.44176483154297,68.00211334228516,110.83916473388672,103.93207550048828,255.78074645996094,101.84300231933594,177.50682067871094,52.640777587890625,23.138011932373047,10.751959800720215,1153.8699951171875
2016-06-22,87.17648315429688,102.46912384033203,67.96784210205078,110.70222473144531,104.12183380126953,254.94371032714844,101.80703735351562,177.21200561523438,52.526119232177734,23.083080291748047,10.759984970092773,1148.969970703125
2016-06-23,87.17648315429688,102.34149169921875,68.42191314697266,111.66079711914062,104.01834869384766,259.6649169921875,101.56412506103516,179.5795440673828,53.1854362487793,23.504270553588867,10.655675888061523,1172.219970703125
2016-06-24,87.15740966796875,102.88849639892578,67.59085845947266,108.7576675415039,104.50997161865234,249.15980529785156,102.31983184814453,173.1218719482422,51.274349212646484,22.5520076751709,10.912433624267578,1127.5400390625
