Date,BIL,GSG,GVI,IYR,JEDAX,JKD,LQD,MDY,MUB,PIGLX,VFINX,VIGRX,VISVX,VUSTX,^RUT
2013-09-03,87.34811401367188,34.18000030517578,94.72071075439453,46.9957389831543,5.82786226272583,83.25428771972656,88.23081970214844,195.6101531982422,84.97398376464844,7.557521820068359,132.40139770507812,38.83784866333008,17.849803924560547,8.550944328308105,1016.260009765625
2013-09-04,87.34811401367188,33.650001525878906,94.57266235351562,47.330772399902344,5.805896759033203,83.76824951171875,87.90853881835938,197.89273071289062,85.0242691040039,7.557521820068359,133.50123596191406,39.216983795166016,18.006229400634766,8.528200149536133,1025.5799560546875
2013-09-05,87.34811401367188,33.63999938964844,94.19835662841797,46.92720413208008,5.798573970794678,83.90530395507812,87.18534088134766,198.20188903808594,84.66390228271484,7.491588592529297,133.6671142578125,39.281715393066406,18.058368682861328,8.414493560791016,1028.68994140625
2013-09-06,87.34811401367188,33.88999938964844,94.52045440673828,47.787628173828125,5.82786226272583,83.94816589355469,87.31111145019531,198.75660705566406,84.8315200805664,7.549279689788818,133.6933135986328,39.355690002441406,18.07575225830078,8.452392578125,1029.550048828125
2013-09-09,87.30999755859375,33.63999938964844,94.57266235351562,48.731807708740234,5.849824905395508,84.62487030029297,87.53905487060547,201.6667022705078,84.85664367675781,7.565765380859375,135.02880859375,39.81804656982422,18.32777214050293,8.459970474243164,1046.0799560546875
2013-09-10,87.32907104492188,33.189998626708984,94.45955657958984,48.670894622802734,5.842503070831299,85.2330551147461,87.1539077758789,203.79469299316406,84.94046783447266,7.541037082672119,136.02395629882812,40.04922103881836,18.484189987182617,8.406908988952637,1055.719970703125
2013-09-11,87.32907104492188,33.25,94.72071075439453,49.00593185424805,5.864469051361084,85.83270263671875,87.56265258789062,203.99478149414062,85.09967803955078,7.5740065574646,136.4604034423828,40.14170455932617,18.50157356262207,8.467554092407227,1055.3399658203125
2013-09-12,87.32907104492188,33.58000183105469,94.65977478027344,48.69374084472656,5.8937530517578125,85.72990417480469,87.49976348876953,203.3945770263672,85.35948181152344,7.58224630355835,136.03265380859375,40.07696533203125,18.397287368774414,8.467554092407227,1048.47998046875
2013-09-13,87.34811401367188,33.59000015258789,94.75554656982422,48.80033874511719,5.8937530517578125,86.08111572265625,87.55482482910156,203.7674102783203,85.42650604248047,7.590487957000732,136.4080352783203,40.14170455932617,18.475496292114258,8.490300178527832,1053.97998046875
2013-09-16,87.32907104492188,33.060001373291016,94.903564453125,49.28004455566406,5.952323913574219,86.8434829711914,87.65699005126953,204.91323852539062,85.8287582397461,7.623456954956055,137.1761932373047,40.25264358520508,18.571094512939453,8.444814682006836,1056.25
2013-09-17,87.32907104492188,32.56999969482422,95.0079574584961,49.24197006225586,5.9596452713012695,87.06623840332031,87.89283752441406,206.53192138671875,86.15555572509766,7.631695747375488,137.76107788085938,40.47458267211914,18.701448440551758,8.505460739135742,1066.3900146484375
2013-09-18,87.34811401367188,33.31999969482422,95.49554443359375,50.96279525756836,5.9962544441223145,88.09416198730469,89.1820297241211,208.41441345214844,87.01034545898438,7.697627544403076,139.43702697753906,41.02941131591797,18.89263153076172,8.604007720947266,1076.969970703125
2013-09-19,87.34811401367188,32.970001220703125,95.55644226074219,50.76484298706055,6.062145709991455,88.10272216796875,88.61604309082031,207.92332458496094,86.9349365234375,7.697627544403076,139.2012481689453,41.057159423828125,18.857873916625977,8.558524131774902,1075.27001953125
2013-09-20,87.32907104492188,32.849998474121094,95.54772186279297,49.889183044433594,6.069464683532715,87.40888214111328,88.69464111328125,206.37469482421875,87.01034545898438,7.697627544403076,138.19012451171875,40.82252502441406,18.753589630126953,8.596430778503418,1072.8299560546875
2013-09-23,87.32907104492188,32.369998931884766,95.59998321533203,49.56937789916992,6.069464683532715,86.9462890625,89.2213134765625,205.49913024902344,87.14437103271484,7.714110851287842,137.5411376953125,40.65560531616211,18.71883201599121,8.649486541748047,1072.1300048828125
2013-09-24,87.32907104492188,32.41999816894531,95.70447540283203,49.241973876953125,6.0475029945373535,86.573486328125,89.44925689697266,205.79098510742188,87.38746643066406,7.722350120544434,137.19908142089844,40.60922622680664,18.762283325195312,8.732880592346191,1074.6800537109375
2013-09-25,87.32907104492188,32.36000061035156,95.73932647705078,49.41105651855469,6.040182113647461,86.1860122680664,89.72440338134766,205.90956115722656,87.48799896240234,7.747077465057373,136.82199096679688,40.46085739135742,18.779664993286133,8.755620956420898,1073.510009765625
2013-09-26,87.32907104492188,32.560001373291016,95.6347885131836,49.7108039855957,6.025539398193359,86.32380676269531,89.50431060791016,207.12257385253906,87.4796371459961,7.714110851287842,137.3306427001953,40.74833679199219,18.849185943603516,8.702556610107422,1078.4100341796875
2013-09-27,87.32907104492188,32.40999984741211,95.71318054199219,49.52635192871094,6.010897159576416,86.01383972167969,89.43354797363281,206.30174255371094,87.4796371459961,7.738836765289307,136.77813720703125,40.59996032714844,18.779664993286133,8.717718124389648,1074.18994140625
2013-09-30,87.32907104492188,32.380001068115234,95.85250091552734,49.02677917480469,5.988120079040527,85.48861694335938,89.23699951171875,206.4202423095703,87.56343841552734,7.755354881286621,135.9537353515625,40.38667678833008,18.770973205566406,8.732918739318848,1073.7900390625
2013-10-01,87.34811401367188,31.8799991607666,95.78359985351562,49.77228927612305,5.988120079040527,86.17742156982422,89.14713287353516,209.24758911132812,87.4164047241211,7.763615608215332,137.04998779296875,40.794708251953125,19.00560760498047,8.71011734008789,1087.4300537109375
2013-10-02,87.34811401367188,32.36000061035156,95.83592987060547,49.80302047729492,5.980772018432617,85.98798370361328,89.41525268554688,208.82806396484375,87.56763458251953,7.796651363372803,136.9798583984375,40.74833679199219,18.953466415405273,8.717719078063965,1082.550048828125
2013-10-03,87.34811401367188,32.27000045776367,95.94054412841797,49.034461975097656,5.980772018432617,85.48861694335938,89.46259307861328,207.1590118408203,87.5172119140625,7.796651363372803,135.7519989013672,40.3217658996582,18.788352966308594,8.71011734008789,1070.9000244140625
2013-10-04,87.34811401367188,32.400001525878906,95.73128509521484,48.857696533203125,6.002814292907715,85.85884857177734,89.3758544921875,208.3629608154297,87.4248046875,7.771872520446777,136.71673583984375,40.646324157714844,18.89263153076172,8.694917678833008,1078.25
2013-10-07,87.34811401367188,32.599998474121094,95.83592987060547,49.072898864746094,6.01016092300415,85.40251922607422,89.53357696533203,205.9642791748047,87.38282012939453,7.796651363372803,135.5503387451172,40.28466796875,18.67538070678711,8.725316047668457,1065.7900390625
2013-10-08,87.34811401367188,32.63999938964844,95.69641876220703,48.511837005615234,6.024855136871338,84.3348617553711,89.5177993774414,203.5474090576172,87.18118286132812,7.788393020629883,133.9190673828125,39.61696243286133,18.423362731933594,8.725316047668457,1047.260009765625
2013-10-09,87.32907104492188,32.459999084472656,95.7051773071289,48.496463775634766,6.032205581665039,84.4898452758789,89.32852172851562,202.83599853515625,87.12236022949219,7.763615608215332,134.00674438476562,39.53349304199219,18.379907608032227,8.664512634277344,1043.4599609375
2013-10-10,87.30999755859375,32.95000076293945,95.6702880859375,49.65699768066406,6.039548873901367,86.34098815917969,89.45469665527344,207.35057067871094,87.0551528930664,7.738831996917725,136.95350646972656,40.42376708984375,18.797040939331055,8.672113418579102,1069.5
2013-10-11,87.29094696044922,32.79999923706055,95.71385192871094,50.13352966308594,6.054246425628662,86.89205932617188,89.57300567626953,209.347900390625,86.8451156616211,7.738831996917725,137.81301879882812,40.70197677612305,19.00560760498047,8.672113418579102,1084.31005859375
2013-10-14,87.29094696044922,32.779998779296875,95.57437896728516,50.11814880371094,6.054246425628662,87.21060943603516,89.2969741821289,210.14138793945312,86.58466339111328,7.738831996917725,138.3743133544922,40.9152717590332,19.092506408691406,8.618912696838379,1090.300048828125
2013-10-15,87.29094696044922,32.4900016784668,95.66153717041016,49.95673751831055,6.0615949630737305,86.7198715209961,89.3127212524414,207.92514038085938,86.43341827392578,7.722321033477783,137.4008331298828,40.65560531616211,18.927398681640625,8.603707313537598,1079.6199951171875
2013-10-16,87.30999755859375,32.810001373291016,95.80977630615234,50.86363983154297,6.076286315917969,87.7874755859375,89.97521209716797,210.6430206298828,86.90391540527344,7.722321033477783,139.3126678466797,41.19346618652344,19.153343200683594,8.694917678833008,1092.4200439453125
2013-10-17,87.30999755859375,32.52000045776367,96.09744262695312,51.6475830078125,6.105676174163818,88.40740966796875,90.63763427734375,212.1752471923828,87.23993682861328,7.788393020629883,140.2598876953125,41.40677261352539,19.327144622802734,8.770917892456055,1102.27001953125
2013-10-18,87.32907104492188,32.77000045776367,96.05384826660156,51.547672271728516,6.135066509246826,88.5107192993164,90.75589752197266,213.9628143310547,87.3323974609375,7.804906368255615,141.1807098388672,41.84262466430664,19.483577728271484,8.78612232208252,1114.77001953125
2013-10-21,87.32907104492188,32.52000045776367,96.03643798828125,51.27867889404297,6.135066509246826,88.22659301757812,90.51934814453125,214.16343688964844,87.25675201416016,7.796651363372803,141.18948364257812,41.861183166503906,19.483577728271484,8.755721092224121,1112.47998046875
2013-10-22,87.32907104492188,32.33000183105469,96.3502426147461,51.82435989379883,6.157108783721924,89.0962142944336,91.07140350341797,215.2305145263672,87.66846466064453,7.829685688018799,142.00506591796875,42.046653747558594,19.587858200073242,8.846924781799316,1115.6300048828125
