Date,BIL,BNDX,CBFSX,GVI,HYG,ILTB,IYR,JEDAX,JKD,LDVIX,MDY,MUB,USCI,VEMAX,VIGRX,VISVX,VTIAX,^RUT
2016-02-18,87.13835144042969,48.076473236083984,7.930527210235596,100.96989440917969,60.30585479736328,50.01664733886719,58.905677795410156,6.194875717163086,101.73247528076172,7.59268045425415,222.99075317382812,99.9975814819336,39.540000915527344,22.665843963623047,48.08762741088867,20.094470977783203,19.650989532470703,1004.7100219726562
2016-02-19,87.13835144042969,48.12116241455078,7.938741683959961,101.01524353027344,60.42258834838867,50.507591247558594,59.03245544433594,6.194875717163086,101.65079498291016,7.647642612457275,223.10328674316406,99.92603302001953,39.380001068115234,22.59520721435547,48.23040771484375,20.07615852355957,19.59844398498535,1010.010009765625
2016-02-22,87.13835144042969,48.16584396362305,7.938741683959961,100.96989440917969,60.944007873535156,50.4493522644043,59.71701431274414,6.21923303604126,103.07608795166016,7.812530517578125,225.94480895996094,99.82762908935547,39.439998626708984,22.974882125854492,48.95381164550781,20.36910629272461,19.834888458251953,1021.739990234375
2016-02-23,87.11927032470703,48.174774169921875,7.955178737640381,101.12420654296875,60.81950378417969,50.59080505371094,59.573341369628906,6.21923303604126,101.9594497680664,7.600532531738281,223.9473114013672,99.8634033203125,39.439998626708984,22.657012939453125,48.37317657470703,20.167709350585938,19.537147521972656,1012.1500244140625
2016-02-24,87.13835144042969,48.237342834472656,7.955178737640381,101.0969467163086,60.920684814453125,50.66570281982422,59.59868240356445,6.2111124992370605,102.1773452758789,7.718308925628662,225.3352508544922,99.72919464111328,39.560001373291016,22.54222869873047,48.668251037597656,20.332489013671875,19.449575424194336,1022.0800170898438
2016-02-25,87.11927032470703,48.3177604675293,7.989770889282227,101.28753662109375,61.24753189086914,50.89866638183594,60.68046951293945,6.232294082641602,103.29398345947266,7.836085319519043,227.91421508789062,99.80075073242188,39.4900016784668,22.5157413482666,49.22985076904297,20.524744033813477,19.659748077392578,1031.5799560546875
2016-02-26,87.11927032470703,48.3177604675293,7.973299980163574,101.08788299560547,61.65999221801758,50.66570281982422,60.4945182800293,6.248588562011719,103.18502807617188,7.7968268394470215,228.99269104003906,99.63970947265625,39.470001220703125,22.45393180847168,49.20128631591797,20.634592056274414,19.615962982177734,1037.1800537109375
2016-02-29,87.13835144042969,48.42498016357422,7.989770889282227,101.13322448730469,62.32148742675781,50.77385330200195,60.39310836791992,6.264882564544678,102.6494140625,7.710456848144531,227.8297882080078,99.63081359863281,39.560001373291016,22.489248275756836,48.83006286621094,20.607128143310547,19.580930709838867,1033.9000244140625
2016-03-01,87.13835144042969,48.41156768798828,7.965062141418457,100.83602905273438,63.30644989013672,50.128910064697266,61.96506118774414,6.289322853088379,104.8826904296875,8.071639060974121,233.04400634765625,99.44342041015625,39.470001220703125,23.24860382080078,50.13410949707031,20.991626739501953,20.06256866455078,1054.489990234375
2016-03-02,87.11927032470703,48.2684326171875,7.981533050537109,100.77240753173828,62.87620162963867,50.41273498535156,62.43832778930664,6.305614948272705,105.05517578125,8.048084259033203,235.0696563720703,99.33587646484375,39.70000076293945,23.575298309326172,50.153141021728516,21.247955322265625,20.228960037231445,1065.6700439453125
