Date,BIL,IYR,JKD,MUB,VIGRX,VISVX,^RUT
2010-06-25,87.458740234375,33.861270904541016,49.74342346191406,78.65798950195312,23.40504264831543,11.13739013671875,645.1099853515625
2010-06-28,87.458740234375,33.473941802978516,49.70322036743164,78.68829345703125,23.351545333862305,11.080229759216309,641.5399780273438
2010-06-29,87.458740234375,32.400272369384766,48.28037643432617,78.71102905273438,22.549091339111328,10.671966552734375,615.9600219726562
2010-06-30,87.47779083251953,32.080894470214844,47.725704193115234,78.80949401855469,22.3261775970459,10.549490928649902,609.489990234375
2010-07-01,87.458740234375,32.01973342895508,47.59708786010742,78.88925170898438,22.308345794677734,10.476003646850586,604.760009765625
2010-07-02,87.458740234375,31.408153533935547,47.34788131713867,78.97284698486328,22.228107452392578,10.369855880737305,598.969970703125
2010-07-06,87.43965148925781,30.796581268310547,47.532772064208984,78.90442657470703,22.308345794677734,10.239212036132812,590.030029296875
2010-07-07,87.43965148925781,32.264366149902344,49.14855194091797,79.05647277832031,23.021642684936523,10.631141662597656,611.6599731445312
2010-07-08,87.458740234375,32.61092758178711,49.614803314208984,79.06404876708984,23.235639572143555,10.786283493041992,620.27001953125
2010-07-09,87.43965148925781,33.039031982421875,49.94437789916992,79.08686065673828,23.387208938598633,10.941421508789062,629.4299926757812
2010-07-12,87.458740234375,33.16135025024414,49.95241928100586,79.07926940917969,23.422874450683594,10.835274696350098,621.6099853515625
2010-07-13,87.458740234375,33.888458251953125,50.82863998413086,79.14765167236328,23.77952003479004,11.186380386352539,642.8200073242188
2010-07-14,87.458740234375,33.69139099121094,50.70805740356445,79.27680969238281,23.841938018798828,11.129223823547363,640.1599731445312
2010-07-15,87.458740234375,33.61663055419922,50.92509841918945,79.45917510986328,23.859764099121094,11.055734634399414,634.6199951171875
2010-07-16,87.458740234375,32.58375549316406,49.42991638183594,79.4667739868164,23.199970245361328,10.663804054260254,610.3900146484375
2010-07-19,87.43965148925781,32.957496643066406,49.638916015625,79.40596008300781,23.351545333862305,10.720959663391113,613.0800170898438
2010-07-20,87.43965148925781,33.52151107788086,50.08909225463867,79.50473022460938,23.681446075439453,10.908759117126465,624.239990234375
2010-07-21,87.43965148925781,32.87594985961914,49.38166809082031,79.62633514404297,23.3693790435791,10.720959663391113,612.6400146484375
2010-07-22,87.43965148925781,34.05834197998047,50.4588623046875,79.7099609375,23.904346466064453,11.09656047821045,635.47998046875
2010-07-23,87.458740234375,34.459259033203125,50.812557220458984,79.67195892333984,24.118337631225586,11.308858871459961,650.6500244140625
2010-07-26,87.42060852050781,35.34946823120117,51.383304595947266,79.70235443115234,24.332326889038086,11.545649528503418,665.219970703125
2010-07-27,87.42060852050781,35.34267044067383,51.31095504760742,80.00626373291016,24.243162155151367,11.496658325195312,662.1699829101562
2010-07-28,87.43965148925781,35.28828430175781,50.9572639465332,80.34819793701172,24.073759078979492,11.325186729431152,650.760009765625
2010-07-29,87.42060852050781,34.975711822509766,50.72414779663086,80.01393127441406,23.94893455505371,11.333355903625488,650.4299926757812
2010-07-30,87.43965148925781,35.09803009033203,50.78040313720703,79.92271423339844,23.98459815979004,11.333355903625488,650.8900146484375
2010-08-02,87.42060852050781,36.16490936279297,51.849552154541016,80.03321838378906,24.492820739746094,11.553815841674805,661.8599853515625
2010-08-03,87.42060852050781,35.97464370727539,51.53605270385742,80.02561950683594,24.367990493774414,11.42317008972168,655.6599731445312
2010-08-04,87.42060852050781,36.09016418457031,51.89778137207031,80.1246566772461,24.57307243347168,11.537483215332031,662.9600219726562
2010-08-05,87.42060852050781,35.641666412353516,51.833473205566406,80.1246566772461,24.528480529785156,11.42317008972168,655.0700073242188
2010-08-06,87.42060852050781,35.52614212036133,51.616432189941406,80.20089721679688,24.466073989868164,11.36601448059082,650.6799926757812
