Date,BIL,GSG,GVI,HYG,IYR,JEDAX,JKD,LQD,MDY,MUB,PIGLX,VEMAX,VFINX,VGTSX,VIGRX,VISVX,VUSTX,^RUT
2008-09-10,87.12039184570312,54.38999938964844,78.58866119384766,41.5893669128418,38.61335372924805,4.409671783447266,55.41611099243164,63.31879425048828,120.5079116821289,71.71819305419922,5.446915149688721,21.757339477539062,89.09917449951172,10.531176567077637,24.875545501708984,11.57397747039795,6.533342361450195,717.1599731445312
2008-09-11,87.10144805908203,53.560001373291016,78.4519271850586,41.5893669128418,39.056278228759766,4.375967979431152,55.8157844543457,62.8264274597168,121.31722259521484,71.86699676513672,5.419321537017822,21.495546340942383,90.35828399658203,10.47512435913086,25.29376983642578,11.620645523071289,6.538873672485352,719.0
2008-09-12,87.13941192626953,53.95000076293945,78.17079162597656,41.5893669128418,39.4688606262207,4.353498458862305,55.66204833984375,62.34648513793945,123.33634185791016,71.8315658569336,5.430359840393066,21.821025848388672,90.55381774902344,10.65730094909668,25.46802520751953,11.675091743469238,6.472546577453613,720.260009765625
2008-09-15,87.23436737060547,51.68000030517578,78.51271057128906,40.06141662597656,37.041873931884766,4.258000373840332,54.31699752807617,61.88528823852539,117.35570526123047,71.5836410522461,5.463470935821533,20.56865119934082,86.30725860595703,10.173833847045898,24.492170333862305,11.169509887695312,6.638370990753174,689.760009765625
2008-09-16,87.27230834960938,50.7400016784668,78.02644348144531,39.13921356201172,38.18255615234375,4.156886100769043,54.68592071533203,57.958621978759766,120.23526000976562,70.8398208618164,5.369653701782227,20.229022979736328,87.80096435546875,10.152811050415039,24.788414001464844,11.488417625427246,6.621785640716553,710.6500244140625
2008-09-17,87.6519775390625,52.470001220703125,77.88211822509766,36.78849411010742,36.40478515625,4.083858966827393,52.30326461791992,55.303470611572266,114.69760131835938,69.77718353271484,5.364134788513184,19.047405242919922,83.66393280029297,9.669344902038574,23.681861877441406,10.936162948608398,6.654951095581055,676.3800048828125
2008-09-18,87.40520477294922,52.630001068115234,77.38829803466797,39.69070816040039,39.480995178222656,4.0501556396484375,53.98650360107422,56.05766296386719,119.86894989013672,68.57288360595703,5.27583646774292,19.938919067382812,87.30831146240234,10.068731307983398,24.439891815185547,11.713984489440918,6.572038650512695,723.6799926757812
2008-09-19,87.10144805908203,54.5,77.95045471191406,40.197021484375,40.77335739135742,4.1344170570373535,55.42377853393555,57.8090705871582,123.91714477539062,69.1609115600586,5.259281158447266,21.651208877563477,90.82752227783203,10.72736644744873,25.19792938232422,12.188454627990723,6.417270660400391,753.739990234375
2008-09-22,87.13941192626953,57.25,76.87924194335938,40.160888671875,37.18143844604492,4.151270389556885,53.53303909301758,58.15185546875,120.11422729492188,69.53633880615234,5.347579002380371,21.361114501953125,87.36302947998047,10.57321834564209,24.361482620239258,11.53508472442627,6.395164489746094,720.4400024414062
2008-09-23,87.4242172241211,56.41999816894531,76.8260498046875,39.767574310302734,37.41804885864258,4.111947059631348,52.925838470458984,57.553504943847656,117.55040740966797,69.33092498779297,5.319987773895264,20.752613067626953,85.99444580078125,10.35600471496582,23.98773193359375,11.410634994506836,6.3841071128845215,709.1900024414062
2008-09-24,87.15838623046875,55.77000045776367,77.30469512939453,40.12469482421875,37.14152145385742,4.072626113891602,52.994991302490234,57.40389633178711,116.82396697998047,68.67918395996094,5.3089494705200195,20.901195526123047,85.83023071289062,10.405057907104492,24.005199432373047,11.255071640014648,6.400689601898193,697.77001953125
2008-09-25,87.25333404541016,56.54999923706055,76.13468170166016,39.103031158447266,37.82978439331055,4.089476108551025,53.562164306640625,57.653228759765625,117.7554702758789,69.1396713256836,5.270318984985352,21.509695053100586,87.52531433105469,10.622262954711914,24.3544921875,11.371745109558105,6.3841071128845215,705.739990234375
2008-09-26,87.40520477294922,55.7599983215332,76.56774139404297,38.967430114746094,38.61636734008789,4.055771827697754,53.770782470703125,56.09503173828125,116.82396697998047,69.52928161621094,5.270318984985352,21.13469123840332,87.82425689697266,10.503150939941406,24.337026596069336,11.371745109558105,6.395164489746094,704.7899780273438
2008-09-29,87.78490447998047,50.59000015258789,76.34735870361328,35.81208038330078,36.30577850341797,3.9771292209625244,51.081851959228516,50.9841423034668,108.53436279296875,68.3603744506836,5.314467430114746,18.835132598876953,80.11552429199219,9.52920913696289,22.27619743347168,10.601698875427246,6.533342361450195,657.719970703125
2008-09-30,87.462158203125,53.79999923706055,75.93712615966797,37.06877899169922,38.0694465637207,3.9388115406036377,52.0245246887207,55.96413040161133,112.63645935058594,68.93429565429688,5.179848670959473,20.18657112121582,84.45758819580078,9.865532875061035,23.367734909057617,10.990609169006348,6.418508052825928,679.5800170898438
2008-10-01,87.44883728027344,52.22999954223633,75.89134979248047,38.68263244628906,37.485660552978516,3.927543878555298,51.76181411743164,56.48068618774414,112.67916870117188,68.99459838867188,5.185385704040527,20.052135467529297,84.0878677368164,9.851523399353027,23.027179718017578,10.928387641906738,6.485082626342773,671.5900268554688
2008-10-02,87.4107894897461,49.279998779296875,76.2421875,37.67511749267578,35.002994537353516,3.8768293857574463,49.68330383300781,55.66047286987305,105.9705581665039,70.1669921875,5.1632280349731445,18.79268455505371,80.71333312988281,9.382067680358887,21.900707244873047,10.41502571105957,6.529461860656738,637.6699829101562
2008-10-03,87.4107894897461,48.900001525878906,76.34130859375,37.538352966308594,33.134857177734375,3.85428786277771,49.111534118652344,55.63545608520508,102.50086975097656,69.74777221679688,5.185385704040527,18.368148803710938,79.62783813476562,9.368054389953613,21.67366600036621,10.135007858276367,6.557201385498047,619.4000244140625
2008-10-06,87.3918228149414,45.9900016784668,75.65499114990234,36.175228118896484,32.526493072509766,3.747223377227783,47.550716400146484,54.99055862426758,97.8518295288086,69.33566284179688,5.246325492858887,16.78322410583496,76.56011199951172,8.751456260681152,20.7480411529541,9.761651992797852,6.640417575836182,595.9099731445312
2008-10-07,87.37283325195312,46.369998931884766,76.28026580810547,35.5643310546875,29.779592514038086,3.6908771991729736,45.24811935424805,56.017330169677734,92.6387939453125,67.5308837890625,5.235248565673828,15.891703605651855,72.16300201416016,8.408125877380371,19.63029670715332,9.186066627502441,6.590483665466309,558.9500122070312
2008-10-08,87.29674530029297,46.380001068115234,74.69414520263672,34.07810974121094,29.28182029724121,3.572540283203125,44.68407440185547,55.616661071777344,91.86963653564453,65.54841613769531,5.196468830108643,15.580378532409668,71.38424682617188,8.176902770996094,19.551708221435547,8.968276977539062,6.501722812652588,546.5700073242188
2008-10-09,87.42982482910156,43.9900016784668,74.11459350585938,33.284847259521484,27.186321258544922,3.4992880821228027,42.11105728149414,54.13279724121094,84.05003356933594,64.6033706665039,5.13552713394165,14.787914276123047,65.94880676269531,7.700440406799316,18.407764434814453,8.174899101257324,6.418508052825928,499.20001220703125
2008-10-10,87.5058822631836,42.95000076293945,72.68091583251953,31.06465721130371,29.34942626953125,3.279527187347412,41.58562088012695,51.15252685546875,85.46012878417969,63.2391471862793,5.013649940490723,14.759614944458008,65.185791015625,7.560305595397949,18.08466911315918,8.532699584960938,6.379676818847656,522.47998046875
2008-10-13,87.1636962890625,43.779998779296875,73.60359954833984,34.87594223022461,31.543254852294922,3.2738921642303467,45.309932708740234,53.970001220703125,95.7153091430664,63.80754852294922,5.024729251861572,16.924732208251953,72.72930908203125,8.478194236755371,20.259029388427734,9.256070137023926,6.263184070587158,570.8900146484375
