Date,BIL,IYR
2016-06-27,87.15740966796875,67.94821166992188
2016-06-28,87.15740966796875,69.42382049560547
2016-06-29,87.15740966796875,70.31266784667969
2016-06-30,87.15740966796875,71.09794616699219
2016-07-01,87.195556640625,71.0461654663086
2016-07-05,87.195556640625,71.5898208618164
2016-07-06,87.17648315429688,71.3309555053711
2016-07-07,87.195556640625,70.70099639892578
2016-07-08,87.17648315429688,71.74515533447266
2016-07-11,87.195556640625,72.2629165649414
2016-07-12,87.15740966796875,72.34920501708984
2016-07-13,87.17648315429688,72.65125274658203
2016-07-14,87.195556640625,72.11620330810547
2016-07-15,87.17648315429688,72.17662811279297
2016-07-18,87.17648315429688,72.35784912109375
2016-07-19,87.195556640625,72.68576049804688
2016-07-20,87.195556640625,72.66850280761719
2016-07-21,87.195556640625,72.77205657958984
