Date,BIL,CBFSX,GVI,HYG,ILTB,IYR,JKD,MDY,MUB,VIGRX,VISVX
2020-01-22,91.23641967773438,10.22296142578125,111.47396850585938,84.28568267822266,67.68661499023438,93.50431823730469,188.7123565673828,374.89483642578125,112.86100769042969,98.33350372314453,32.53995895385742
2020-01-23,91.24639129638672,10.242544174194336,111.54277038574219,84.02804565429688,68.01604461669922,94.06175994873047,189.25563049316406,375.7355041503906,113.0178451538086,98.6119613647461,32.61894226074219
2020-01-24,91.24639129638672,10.262129783630371,111.6705551147461,83.67499542236328,68.20013427734375,93.84660339355469,187.5072784423828,371.7597351074219,113.14527893066406,97.74676513671875,32.23391342163086
2020-01-27,91.25635528564453,10.301301002502441,111.9261245727539,83.11201477050781,68.77178192138672,93.39673614501953,184.1587677001953,366.66650390625,113.31193542480469,96.04622650146484,31.799518585205078
2020-01-28,91.25635528564453,10.271921157836914,111.837646484375,83.8276596069336,68.57798767089844,93.7977066040039,186.4602508544922,370.26641845703125,113.24332427978516,97.3489761352539,32.04633331298828
2020-01-29,91.2663345336914,10.3219633102417,112.1227035522461,83.77995300292969,68.98493957519531,93.50431823730469,186.68743896484375,368.5158996582031,113.48838806152344,97.57771301269531,31.93773651123047
2020-01-30,91.2663345336914,10.302339553833008,112.07355499267578,83.8658218383789,69.05274963378906,93.62167358398438,187.44802856445312,368.8916931152344,113.40997314453125,97.8462142944336,31.95747947692871
2020-01-31,91.2663345336914,10.341586112976074,112.39794158935547,83.5223159790039,69.39187622070312,92.48722076416016,183.4673309326172,361.43475341796875,113.51779174804688,96.2252197265625,31.33551025390625
2020-02-03,91.27433013916016,10.331774711608887,112.32801055908203,83.50890350341797,69.33940887451172,92.77082824707031,183.97108459472656,365.5489501953125,113.55217742919922,97.43848419189453,31.611942291259766
2020-02-04,91.27433013916016,10.302339553833008,112.1113510131836,84.00718688964844,68.81477355957031,93.71946716308594,187.12205505371094,370.42462158203125,113.35574340820312,99.33792114257812,31.94761085510254
2020-02-05,91.29427337646484,10.272904396057129,111.86518096923828,84.35213470458984,68.51359558105469,93.73902130126953,189.35440063476562,374.6673583984375,113.25753784179688,99.55670928955078,32.510345458984375
2020-02-06,91.30426788330078,10.302339553833008,111.98336029052734,84.4192123413086,68.67874145507812,94.09110260009766,190.08534240722656,372.7882995605469,113.20843505859375,100.22301483154297,32.35238265991211
2020-02-07,91.30426788330078,10.341586112976074,112.19998931884766,84.29463958740234,69.19367980957031,94.0519790649414,188.59381103515625,369.3565368652344,113.42448425292969,99.80532836914062,32.006839752197266
2020-02-10,91.29427337646484,10.351397514343262,112.24922180175781,84.40962219238281,69.40742492675781,95.00061798095703,189.52232360839844,371.3641662597656,113.49324035644531,100.98875427246094,32.12531280517578
2020-02-11,91.30426788330078,10.341586112976074,112.14090728759766,84.46712493896484,69.21310424804688,95.77322387695312,190.0655975341797,374.27178955078125,113.53253173828125,100.98875427246094,32.391876220703125
