Date,BIL,VGTSX
2012-11-21,87.36717987060547,11.285443305969238
2012-11-23,87.36717987060547,11.50828742980957
2012-11-26,87.36717987060547,11.468491554260254
2012-11-27,87.36717987060547,11.4127836227417
2012-11-28,87.36717987060547,11.484416007995605
2012-11-29,87.36717987060547,11.579914093017578
2012-11-30,87.36717987060547,11.595830917358398
2012-12-03,87.36717987060547,11.579914093017578
2012-12-04,87.36717987060547,11.627668380737305
2012-12-05,87.36717987060547,11.675418853759766
2012-12-06,87.36717987060547,11.699292182922363
2012-12-07,87.36717987060547,11.707255363464355
2012-12-10,87.36717987060547,11.723172187805176
2012-12-11,87.36717987060547,11.7947998046875
2012-12-12,87.36717987060547,11.85051155090332
2012-12-13,87.36717987060547,11.802760124206543
2012-12-14,87.36717987060547,11.85051155090332
2012-12-17,87.36717987060547,11.898265838623047
2012-12-18,87.38627624511719,11.985808372497559
2012-12-19,87.36717987060547,12.015645027160645
2012-12-20,87.36717987060547,12.096288681030273
2012-12-21,87.36717987060547,11.991455078125
2012-12-24,87.36717987060547,11.975325584411621
2012-12-26,87.36717987060547,11.991455078125
2012-12-27,87.36717987060547,12.031773567199707
2012-12-28,87.38627624511719,11.967264175415039
2012-12-31,87.36717987060547,12.080160140991211
2013-01-02,87.36717987060547,12.3140230178833
2013-01-03,87.36717987060547,12.217253684997559
2013-01-04,87.38627624511719,12.281764030456543
2013-01-07,87.34811401367188,12.24144458770752
2013-01-08,87.34811401367188,12.168865203857422
2013-01-09,87.34811401367188,12.225314140319824
2013-01-10,87.34811401367188,12.378535270690918
2013-01-11,87.34811401367188,12.35434341430664
2013-01-14,87.34811401367188,12.378535270690918
2013-01-15,87.34811401367188,12.35434341430664
2013-01-16,87.34811401367188,12.305956840515137
2013-01-17,87.36717987060547,12.410791397094727
2013-01-18,87.34811401367188,12.402729988098145
2013-01-22,87.34811401367188,12.402729988098145
2013-01-23,87.34811401367188,12.378535270690918
2013-01-24,87.36717987060547,12.402729988098145
2013-01-25,87.34811401367188,12.475303649902344
2013-01-28,87.34811401367188,12.402729988098145
2013-01-29,87.34811401367188,12.50756549835205
