Date,JKD,VIGRX,^RUT
2018-02-07,148.19004821777344,71.69901275634766,1507.969970703125
2018-02-08,142.71090698242188,68.94959259033203,1463.7900390625
2018-02-09,144.70672607421875,69.97332000732422,1477.8399658203125
2018-02-12,146.7025909423828,71.03602600097656,1490.97998046875
2018-02-13,147.42745971679688,71.24076843261719,1494.949951171875
2018-02-14,148.9243621826172,72.3229751586914,1522.0999755859375
2018-02-15,150.78836059570312,73.3759536743164,1537.199951171875
2018-02-16,151.1366729736328,73.32718658447266,1543.550048828125
2018-02-20,149.90341186523438,73.10295867919922,1529.989990234375
2018-02-21,149.3291015625,72.81046295166016,1531.8399658203125
2018-02-22,149.39505004882812,72.89820098876953,1529.989990234375
2018-02-23,151.456787109375,74.107177734375,1549.18994140625
2018-02-26,153.2831268310547,74.9066390991211,1559.3299560546875
2018-02-27,151.56976318359375,73.84392547607422,1536.469970703125
2018-02-28,149.74337768554688,73.19071197509766,1512.449951171875
2018-03-01,147.56871032714844,72.24498748779297,1507.3900146484375
2018-03-02,148.1806182861328,72.71297454833984,1533.1700439453125
2018-03-05,149.7339630126953,73.4929428100586,1546.050048828125
2018-03-06,149.75279235839844,73.83419036865234,1562.199951171875
2018-03-07,149.5833282470703,73.96092224121094,1574.530029296875
2018-03-08,150.68479919433594,74.399658203125,1571.969970703125
2018-03-09,152.87832641601562,75.70611572265625,1597.1400146484375
2018-03-12,152.7559356689453,75.81336212158203,1601.06005859375
2018-03-13,151.96514892578125,75.28688049316406,1592.050048828125
2018-03-14,150.78836059570312,75.07238006591797,1584.31005859375
2018-03-15,150.70362854003906,74.96512603759766,1576.6199951171875
2018-03-16,150.6753692626953,74.95539093017578,1586.050048828125
2018-03-19,149.15969848632812,73.73668670654297,1570.56005859375
2018-03-20,148.9619598388672,74.04867553710938,1570.4100341796875
2018-03-21,148.54776000976562,73.83567810058594,1579.300048828125
2018-03-22,144.62074279785156,71.930419921875,1543.8699951171875
2018-03-23,141.94537353515625,70.43553161621094,1510.0799560546875
2018-03-26,145.29196166992188,72.33100891113281,1543.719970703125
2018-03-27,143.51467895507812,70.63094329833984,1513.5699462890625
2018-03-28,143.4012451171875,70.20103454589844,1513.030029296875
2018-03-29,144.93272399902344,71.35396575927734,1529.4300537109375
2018-04-02,142.09661865234375,69.64412689208984,1492.530029296875
2018-04-03,143.8644561767578,70.41600036621094,1512.1500244140625
2018-04-04,145.41485595703125,71.25626373291016,1531.6600341796875
2018-04-05,146.36965942382812,71.77409362792969,1542.9300537109375
2018-04-06,143.33505249023438,70.12288665771484,1513.300048828125
2018-04-09,143.6848602294922,70.36714935302734,1514.4599609375
2018-04-10,145.7457275390625,71.62754821777344,1543.4300537109375
2018-04-11,144.98941040039062,71.33442687988281,1546.800048828125
2018-04-12,146.0576934814453,71.84249877929688,1557.3299560546875
2018-04-13,145.70791625976562,71.66661834716797,1549.510009765625
2018-04-16,147.11648559570312,72.19422149658203,1563.030029296875
2018-04-17,148.04295349121094,73.3471450805664,1579.800048828125
2018-04-18,147.9200439453125,73.50348663330078,1583.56005859375
2018-04-19,147.1637725830078,72.79023742675781,1573.8199462890625
2018-04-20,145.63226318359375,71.97928619384766,1564.1199951171875
2018-04-23,145.70791625976562,71.84249877929688,1562.1199951171875
2018-04-24,143.80775451660156,70.48439025878906,1553.280029296875
2018-04-25,144.47894287109375,70.62118530273438,1550.469970703125
2018-04-26,144.8948974609375,71.8522720336914,1557.8900146484375
2018-04-27,144.98941040039062,71.87179565429688,1556.239990234375
2018-04-30,144.34658813476562,71.54938507080078,1541.8800048828125
2018-05-01,144.26153564453125,72.04766845703125,1550.3299560546875
2018-05-02,143.79827880859375,71.75457000732422,1554.9100341796875
2018-05-03,143.54302978515625,71.72525024414062,1546.56005859375
2018-05-04,145.5850067138672,72.81954193115234,1565.5999755859375
2018-05-07,145.9253387451172,73.22991180419922,1578.949951171875
2018-05-08,145.7457275390625,73.25921630859375,1586.3900146484375
2018-05-09,146.97470092773438,74.04086303710938,1596.050048828125
2018-05-10,148.51564025878906,74.71501922607422,1603.7099609375
2018-05-11,148.82760620117188,74.78341674804688,1606.7900390625
2018-05-14,148.6952362060547,74.75408935546875,1600.3399658203125
2018-05-15,148.03347778320312,74.06038665771484,1600.3399658203125
2018-05-16,148.43052673339844,74.4023666381836,1616.3699951171875
2018-05-17,148.6479949951172,74.36328887939453,1625.2900390625
2018-05-18,148.4399871826172,74.29488372802734,1626.6300048828125
2018-05-21,149.58384704589844,74.7931900024414,1637.43994140625
2018-05-22,149.06393432617188,74.4023666381836,1625.239990234375
2018-05-23,149.02610778808594,74.90066528320312,1627.6099853515625
2018-05-24,148.73306274414062,74.85181427001953,1628.219970703125
2018-05-25,148.44944763183594,74.75408935546875,1626.9300537109375
2018-05-29,146.4641876220703,74.17764282226562,1623.6500244140625
2018-05-30,148.2036590576172,75.01790618896484,1647.989990234375
2018-05-31,147.01248168945312,74.6661605834961,1633.6099853515625
2018-06-01,148.12803649902344,75.58460235595703,1647.97998046875
2018-06-04,148.5534210205078,76.11219787597656,1653.3699951171875
2018-06-05,148.4210968017578,76.28807067871094,1664.6300048828125
2018-06-06,149.6311492919922,76.90361785888672,1675.949951171875
2018-06-07,150.15109252929688,76.5811767578125,1667.77001953125
2018-06-08,150.50088500976562,76.80591583251953,1672.489990234375
2018-06-11,150.7372283935547,76.93292999267578,1674.6800537109375
2018-06-12,150.74667358398438,77.30421447753906,1682.300048828125
2018-06-13,150.14163208007812,77.0404052734375,1676.5400390625
