Date,BIL,CBFSX,HYG,ILTB,IYR,JEDAX,JKD,MDY,VEMAX,VIGRX,VISVX,^RUT
2019-12-19,91.1317367553711,10.071256637573242,83.8276596069336,66.20421600341797,89.41637420654297,7.864368438720703,180.039794921875,369.6245422363281,36.098846435546875,92.39755249023438,32.330650329589844,1667.0899658203125
2019-12-20,91.13672637939453,10.071256637573242,83.70362854003906,66.22358703613281,89.97381591796875,7.864368438720703,181.22509765625,371.4234924316406,36.06930923461914,92.82413482666016,32.467891693115234,1671.9000244140625
2019-12-23,91.13672637939453,10.071256637573242,83.74177551269531,66.13640594482422,89.46527099609375,7.873981952667236,181.38314819335938,371.1070556640625,36.16777420043945,92.9434585571289,32.42148971557617,1674.1400146484375
2019-12-24,91.14669036865234,10.090792655944824,83.80857849121094,66.2526626586914,89.70977020263672,7.8835954666137695,181.53131103515625,371.1268310546875,36.13823699951172,92.9931869506836,32.43136215209961,1678.010009765625
2019-12-26,91.15666961669922,10.100561141967773,83.93262481689453,66.42706298828125,90.18898010253906,7.873981952667236,182.3116455078125,371.94769287109375,36.31548309326172,93.73905181884766,32.46097946166992,1677.6700439453125
2019-12-27,91.14669036865234,10.115248680114746,83.89444732666016,66.60145568847656,90.4334716796875,7.899087429046631,182.55857849121094,371.2257080078125,36.42380142211914,93.73905181884766,32.372127532958984,1669.030029296875
2019-12-30,91.15666961669922,10.105454444885254,83.83720397949219,66.50457763671875,90.50192260742188,7.88943338394165,181.88690185546875,370.8795471191406,36.36471176147461,93.08268737792969,32.35238265991211,1664.1500244140625
2019-12-31,91.15666961669922,10.076080322265625,83.91353607177734,65.98136901855469,91.030029296875,7.899087429046631,182.2227325439453,371.2455139160156,36.3844108581543,93.35120391845703,32.44123840332031,1668.469970703125
2020-01-02,91.18656158447266,10.115248680114746,84.26660919189453,66.45613861083984,90.02272033691406,7.908746242523193,184.1389923095703,371.7894287109375,37.02445983886719,94.57440185546875,32.391876220703125,1666.77001953125
2020-01-03,91.18656158447266,10.164210319519043,84.18071746826172,66.9599609375,90.66818237304688,7.908746242523193,183.11175537109375,369.85101318359375,36.68966293334961,94.01749420166016,32.28327560424805,1660.8699951171875
2020-01-06,91.17658996582031,10.134831428527832,84.0948486328125,66.63053131103516,90.74642181396484,7.899087429046631,183.64511108398438,369.84112548828125,36.46318435668945,94.59429168701172,32.25365447998047,1663.260009765625
2020-01-07,91.17658996582031,10.105454444885254,84.01850891113281,66.48519897460938,89.8271255493164,7.908746242523193,183.2104949951172,368.8224792480469,36.52227020263672,94.52467346191406,32.14506149291992,1658.31005859375
2020-01-08,91.19654846191406,10.085871696472168,84.0948486328125,66.26234436035156,90.04227447509766,7.918402671813965,184.2970428466797,369.485107421875,36.49272537231445,95.25064086914062,32.19442367553711,1663.5899658203125
2020-01-09,91.20651245117188,10.115248680114746,84.31431579589844,66.55303192138672,90.09117889404297,7.918402671813965,185.95648193359375,370.5531921386719,36.89645004272461,96.12577819824219,32.21416473388672,1664.989990234375
2020-01-10,91.20651245117188,10.154417037963867,84.34292602539062,66.95026397705078,90.87355041503906,7.928060054779053,185.31443786621094,369.4158935546875,36.90629577636719,95.93683624267578,32.0956916809082,1657.6400146484375
2020-01-13,91.20651245117188,10.134831428527832,84.34292602539062,66.73711395263672,91.84175872802734,7.937716960906982,186.66766357421875,372.2839050292969,37.40849304199219,96.92135620117188,32.372127532958984,1669.6099853515625
2020-01-14,91.20651245117188,10.154417037963867,84.33341217041016,66.90182495117188,91.48968505859375,7.928060054779053,186.44049072265625,373.3619079589844,37.29032516479492,96.53350830078125,32.46097946166992,1675.739990234375
2020-01-15,91.21648406982422,10.17400074005127,84.35247039794922,67.30875396728516,92.30139923095703,7.9473724365234375,186.85536193847656,373.8663024902344,37.10323715209961,96.7821273803711,32.52021789550781,1682.4000244140625
2020-01-16,91.23641967773438,10.17400074005127,84.381103515625,67.29905700683594,92.98599243164062,7.966685771942139,188.50491333007812,378.0299072265625,37.241092681884766,97.74676513671875,32.8953742980957,1705.219970703125
2020-01-17,91.22644805908203,10.17400074005127,84.31431579589844,67.14403533935547,93.09356689453125,7.957029342651367,189.25563049316406,377.2486572265625,37.457725524902344,98.2937240600586,32.83613586425781,1699.6400146484375
2020-01-21,91.23641967773438,10.213171005249023,84.13300323486328,67.55097198486328,94.04220581054688,7.957029342651367,188.46542358398438,375.1618957519531,36.719207763671875,98.2937240600586,32.57944869995117,1685.9000244140625
2020-01-22,91.23641967773438,10.22296142578125,84.28568267822266,67.68661499023438,93.50431823730469,7.966685771942139,188.7123565673828,374.89483642578125,36.87675857543945,98.33350372314453,32.53995895385742,1684.4599609375
2020-01-23,91.24639129638672,10.242544174194336,84.02804565429688,68.01604461669922,94.06175994873047,7.957029342651367,189.25563049316406,375.7355041503906,36.630584716796875,98.6119613647461,32.61894226074219,1685.010009765625
2020-01-24,91.24639129638672,10.262129783630371,83.67499542236328,68.20013427734375,93.84660339355469,7.957029342651367,187.5072784423828,371.7597351074219,36.33517837524414,97.74676513671875,32.23391342163086,1662.22998046875
2020-01-27,91.25635528564453,10.301301002502441,83.11201477050781,68.77178192138672,93.39673614501953,7.918402671813965,184.1587677001953,366.66650390625,35.429256439208984,96.04622650146484,31.799518585205078,1644.1400146484375
2020-01-28,91.25635528564453,10.271921157836914,83.8276596069336,68.57798767089844,93.7977066040039,7.9473724365234375,186.4602508544922,370.26641845703125,35.74435806274414,97.3489761352539,32.04633331298828,1658.31005859375
2020-01-29,91.2663345336914,10.3219633102417,83.77995300292969,68.98493957519531,93.50431823730469,7.973531246185303,186.68743896484375,368.5158996582031,35.74435806274414,97.57771301269531,31.93773651123047,1649.219970703125
2020-01-30,91.2663345336914,10.302339553833008,83.8658218383789,69.05274963378906,93.62167358398438,7.983219623565674,187.44802856445312,368.8916931152344,35.212623596191406,97.8462142944336,31.95747947692871,1648.219970703125
2020-01-31,91.2663345336914,10.341586112976074,83.5223159790039,69.39187622070312,92.48722076416016,7.992908000946045,183.4673309326172,361.43475341796875,34.55288314819336,96.2252197265625,31.33551025390625,1614.06005859375
2020-02-03,91.27433013916016,10.331774711608887,83.50890350341797,69.33940887451172,92.77082824707031,7.992908000946045,183.97108459472656,365.5489501953125,34.661197662353516,97.43848419189453,31.611942291259766,1632.2099609375
2020-02-04,91.27433013916016,10.302339553833008,84.00718688964844,68.81477355957031,93.71946716308594,8.00259780883789,187.12205505371094,370.42462158203125,35.488338470458984,99.33792114257812,31.94761085510254,1656.77001953125
2020-02-05,91.29427337646484,10.272904396057129,84.35213470458984,68.51359558105469,93.73902130126953,8.012285232543945,189.35440063476562,374.6673583984375,35.63603973388672,99.55670928955078,32.510345458984375,1681.9200439453125
2020-02-06,91.30426788330078,10.302339553833008,84.4192123413086,68.67874145507812,94.09110260009766,8.02197265625,190.08534240722656,372.7882995605469,35.803443908691406,100.22301483154297,32.35238265991211,1677.4599609375
2020-02-07,91.30426788330078,10.341586112976074,84.29463958740234,69.19367980957031,94.0519790649414,8.02197265625,188.59381103515625,369.3565368652344,35.419410705566406,99.80532836914062,32.006839752197266,1656.780029296875
2020-02-10,91.29427337646484,10.351397514343262,84.40962219238281,69.40742492675781,95.00061798095703,8.012285232543945,189.52232360839844,371.3641662597656,35.43910598754883,100.98875427246094,32.12531280517578,1667.6700439453125
