Date,BIL,GSG,GVI,HYG,IYR,JKD,LQD,MDY,MUB,PIGLX,VEMAX,VGTSX,VIGRX,VISVX,VUSTX,^RUT
2016-02-04,87.13835144042969,13.140000343322754,100.7408447265625,60.45181655883789,60.1458740234375,100.94286346435547,96.74247741699219,222.3241729736328,99.65374755859375,7.782164573669434,22.462764739990234,11.87345027923584,48.4017333984375,20.149396896362305,11.055384635925293,1014.7899780273438
2016-02-05,87.13835144042969,12.989999771118164,100.75897979736328,59.98683166503906,58.7949333190918,98.9797134399414,96.72541809082031,217.59524536132812,99.73416900634766,7.747308731079102,22.3568058013916,11.72415542602539,46.96443557739258,19.764896392822266,11.072470664978027,985.6199951171875
2016-02-08,87.11927032470703,12.800000190734863,101.01278686523438,59.2892951965332,57.06642532348633,97.87603759765625,97.22865295410156,213.87567138671875,99.99319458007812,7.764737606048584,22.08308219909668,11.522165298461914,46.069698333740234,19.481107711791992,11.286056518554688,969.3400268554688
2016-02-09,87.13835144042969,12.430000305175781,100.8858642578125,59.06452178955078,56.143428802490234,97.9845962524414,96.89601135253906,213.2869110107422,100.00215911865234,7.782164573669434,21.871171951293945,11.390433311462402,46.069698333740234,19.380403518676758,11.303147315979004,963.9000244140625
2016-02-10,87.11927032470703,12.329999923706055,100.8858642578125,58.97929000854492,56.43710708618164,97.96649932861328,97.01541900634766,213.79153442382812,100.02896118164062,7.80831241607666,21.897663116455078,11.399215698242188,46.241031646728516,19.380403518676758,11.39712905883789,963.47998046875
2016-02-11,87.13835144042969,12.430000305175781,101.05807495117188,58.58400344848633,55.60640335083008,96.5914077758789,97.3394775390625,210.81961059570312,100.18080139160156,7.817025184631348,21.517982482910156,11.206006050109863,45.86029052734375,19.10576629638672,11.456928253173828,953.719970703125
2016-02-12,87.11927032470703,12.720000267028809,100.74992370605469,59.459781646728516,56.32801055908203,98.32837677001953,96.79365539550781,214.7074432373047,99.93067169189453,7.773453712463379,21.738731384277344,11.346521377563477,46.650325775146484,19.462797164916992,11.286056518554688,971.989990234375
2016-02-16,87.11927032470703,12.630000114440918,100.5867919921875,59.51399612426758,57.41044616699219,100.10153198242188,96.33311462402344,219.31488037109375,99.98430633544922,7.738595962524414,22.259681701660156,11.574858665466309,47.56410217285156,19.847293853759766,11.1835355758667,995.7999877929688
2016-02-17,87.11927032470703,12.989999771118164,100.63208770751953,60.002288818359375,57.9306755065918,101.4223403930664,96.30750274658203,222.76341247558594,99.8503189086914,7.738595962524414,22.612865447998047,11.79440975189209,48.48740005493164,20.131088256835938,11.115190505981445,1011.1300048828125
2016-02-18,87.13835144042969,12.930000305175781,100.83148956298828,60.056549072265625,58.484474182128906,101.3770980834961,97.09217071533203,222.2213592529297,99.84133911132812,7.764737606048584,22.665843963623047,11.785629272460938,48.08762741088867,20.094470977783203,11.234800338745117,1004.7100219726562
2016-02-19,87.13835144042969,12.8100004196167,100.87678527832031,60.172794342041016,58.61033630371094,101.29570007324219,97.02393341064453,222.33351135253906,99.7698974609375,7.773453712463379,22.59520721435547,11.750500679016113,48.23040771484375,20.07615852355957,11.243341445922852,1010.010009765625
2016-02-22,87.13835144042969,13.0600004196167,100.83148956298828,60.69205856323242,59.29000473022461,102.71600341796875,97.22010803222656,225.16525268554688,99.67163848876953,7.764737606048584,22.974882125854492,11.891013145446777,48.95381164550781,20.36910629272461,11.234800338745117,1021.739990234375
2016-02-23,87.11927032470703,12.800000190734863,100.98558807373047,60.568077087402344,59.14735794067383,101.60326385498047,97.41626739501953,223.17462158203125,99.70735931396484,7.764737606048584,22.657012939453125,11.715374946594238,48.37317657470703,20.167709350585938,11.277518272399902,1012.1500244140625
2016-02-24,87.13835144042969,12.979999542236328,100.9583740234375,60.66883850097656,59.17251968383789,101.82041931152344,97.51006317138672,224.5577850341797,99.57341766357422,7.773453712463379,22.54222869873047,11.662676811218262,48.668251037597656,20.332489013671875,11.260430335998535,1022.0800170898438
2016-02-25,87.11927032470703,13.050000190734863,101.14868927001953,60.99435043334961,60.24657440185547,102.93314361572266,98.05591583251953,227.12783813476562,99.64483642578125,7.782164573669434,22.5157413482666,11.785629272460938,49.22985076904297,20.524744033813477,11.294605255126953,1031.5799560546875
2016-02-26,87.11927032470703,13.029999732971191,100.9493179321289,61.40509796142578,60.06195068359375,102.82457733154297,98.02181243896484,228.20260620117188,99.48403930664062,7.756023406982422,22.45393180847168,11.759282112121582,49.20128631591797,20.634592056274414,11.192082405090332,1037.1800537109375
2016-02-29,87.13835144042969,13.199999809265137,100.99462890625,62.06385040283203,59.96126174926758,102.29081726074219,98.09005737304688,227.04371643066406,99.47512817382812,7.788294315338135,22.489248275756836,11.741720199584961,48.83006286621094,20.607128143310547,11.248581886291504,1033.9000244140625
2016-03-01,87.13835144042969,13.239999771118164,100.69782257080078,63.04472351074219,61.5219841003418,104.51631164550781,97.55545806884766,232.23992919921875,99.2880630493164,7.779572486877441,23.24860382080078,12.031529426574707,50.13410949707031,20.991626739501953,11.07736873626709,1054.489990234375
2016-03-02,87.11927032470703,13.34000015258789,100.63428497314453,62.616241455078125,61.99185562133789,104.68817901611328,97.75215911865234,234.25856018066406,99.1806869506836,7.788294315338135,23.575298309326172,12.128134727478027,50.153141021728516,21.247955322265625,11.120171546936035,1065.6700439453125
2016-03-03,87.13835144042969,13.350000381469727,100.74321746826172,62.826595306396484,62.302330017089844,104.9776840209961,98.21408081054688,236.76324462890625,99.24331665039062,7.823182582855225,23.875511169433594,12.25986385345459,50.28640365600586,21.52259063720703,11.154414176940918,1076.050048828125
2016-03-04,87.13835144042969,13.699999809265137,100.64334869384766,63.00580978393555,62.47014236450195,105.25814056396484,98.19696807861328,238.39874267578125,99.06433868408203,7.823182582855225,24.237529754638672,12.382816314697266,50.4101448059082,21.678226470947266,11.07736873626709,1081.9300537109375
2016-03-07,87.13835144042969,14.050000190734863,100.49811553955078,63.083709716796875,62.587608337402344,105.29431915283203,98.30816650390625,239.50149536132812,99.09119415283203,7.831900119781494,24.352319717407227,12.391597747802734,50.30543899536133,21.86131477355957,11.068806648254395,1094.1500244140625
2016-03-08,87.11927032470703,13.779999732971191,100.79768371582031,62.639591217041016,61.941524505615234,104.19061279296875,98.82994842529297,234.8940887451172,99.1806869506836,7.858064651489258,24.06976890563965,12.242298126220703,49.74384689331055,21.39443016052246,11.188652992248535,1067.8800048828125
2016-03-09,87.13835144042969,14.149999618530273,100.64334869384766,62.795406341552734,62.19324493408203,105.09528350830078,98.71871185302734,235.94082641601562,99.1538314819336,7.823182582855225,24.14923095703125,12.29499340057373,49.972286224365234,21.51343536376953,11.120171546936035,1072.77001953125
2016-03-10,87.13835144042969,14.039999961853027,100.5344467163086,63.23172378540039,62.033817291259766,104.8691177368164,99.12933349609375,235.19317626953125,99.21646118164062,7.858064651489258,24.12274169921875,12.29499340057373,49.9818115234375,21.449359893798828,11.07736873626709,1063.989990234375
2016-03-11,87.11927032470703,14.15999984741211,100.46179962158203,63.9952392578125,63.502227783203125,106.7779769897461,99.41161346435547,239.76315307617188,99.13595581054688,7.875508785247803,24.537738800048828,12.567239761352539,50.89559555053711,21.870468139648438,10.966083526611328,1087.56005859375
2016-03-14,87.11927032470703,14.0,100.54351043701172,63.81606674194336,63.41830825805664,106.515625,99.70240783691406,238.9033660888672,99.2075424194336,7.866787433624268,24.50766944885254,12.5619535446167,50.91462707519531,21.771263122558594,11.000323295593262,1084.25
2016-03-15,87.11927032470703,13.869999885559082,100.54351043701172,63.22395324707031,63.401527404785156,106.18087768554688,99.66822814941406,237.3052978515625,99.18965911865234,7.858064651489258,24.06545639038086,12.421008110046387,50.82896041870117,21.578351974487305,11.00888729095459,1066.6700439453125
2016-03-16,87.13835144042969,14.1899995803833,100.888427734375,63.6446533203125,64.20706176757812,106.93175506591797,100.14723205566406,239.8566131591797,99.2254638671875,7.91039514541626,24.321935653686523,12.553145408630371,51.18115234375,21.798818588256836,11.041435241699219,1074.510009765625
