Date,BIL,LQD
2008-06-13,86.75093841552734,62.23811340332031
2008-06-16,86.75093841552734,62.459991455078125
2008-06-17,86.73202514648438,62.66334533691406
2008-06-18,86.76984405517578,62.97759246826172
2008-06-19,86.75093841552734,62.65100860595703
2008-06-20,86.78874969482422,62.6879997253418
2008-06-23,86.78874969482422,62.66334533691406
2008-06-24,86.78874969482422,62.62639617919922
2008-06-25,86.80766296386719,62.675689697265625
2008-06-26,86.80766296386719,62.72498321533203
2008-06-27,86.84547424316406,62.66334533691406
2008-06-30,86.78874969482422,62.484657287597656
2008-07-01,86.81902313232422,62.45620346069336
2008-07-02,86.81902313232422,62.41288375854492
2008-07-03,86.81902313232422,62.332420349121094
2008-07-07,86.80013275146484,62.62331008911133
2008-07-08,86.76226806640625,62.963623046875
